"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class"
"ae1","2017","before","control",1.6,"0","control","before",2,11,NA,"25",30,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,11,NA,"50",5,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,11,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,11,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,11,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,12,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,12,NA,"25",10,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,12,NA,"50",23,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,12,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,12,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,12,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,13,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,13,NA,"25",10,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,13,NA,"50",2,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,13,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,13,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,13,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,14,NA,"0",2,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,14,NA,"25",9,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,14,NA,"50",20,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,14,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,14,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,14,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,15,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,15,NA,"25",10,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,15,NA,"50",14,"6/15","small"
